Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Average
1929,-0.318,-0.361,-0.293,-0.355,-0.281,-0.403,-0.232,-0.374,-0.273,-0.421,-0.222,-0.321181818
1930,-0.011,-0.052,0.014,-0.047,0.025,-0.096,0.074,-0.065,0.032,-0.113,0.083,-0.014181818
1931,0.035,-0.002,0.062,-0.002,0.071,-0.05,0.119,-0.017,0.08,-0.065,0.13,0.032818182
1932,-0.068,-0.106,-0.042,-0.106,-0.03,-0.149,0.013,-0.121,-0.023,-0.165,0.024,-0.070272727
1933,-0.239,-0.279,-0.216,-0.276,-0.202,-0.317,-0.161,-0.291,-0.196,-0.333,-0.151,-0.241909091
1934,-0.034,-0.073,-0.011,-0.07,0.002,-0.111,0.044,-0.083,0.009,-0.126,0.054,-0.036272727
1935,-0.097,-0.134,-0.073,-0.133,-0.062,-0.175,-0.02,-0.144,-0.055,-0.189,-0.009,-0.099181818
1936,-0.049,-0.081,-0.024,-0.082,-0.015,-0.127,0.03,-0.092,-0.007,-0.138,0.041,-0.049454545
1937,0.073,0.045,0.097,0.041,0.106,-0.006,0.152,0.03,0.114,-0.016,0.162,0.072545455
1938,0.107,0.078,0.128,0.073,0.14,0.025,0.188,0.063,0.147,0.014,0.197,0.105454545
1939,0.041,0.015,0.062,0.005,0.077,-0.042,0.124,-0.004,0.084,-0.053,0.134,0.040272727
1940,0.008,-0.017,0.034,-0.032,0.047,-0.081,0.096,-0.04,0.055,-0.092,0.108,0.007818182
1941,0.039,0.003,0.077,0.001,0.076,-0.04,0.118,-0.013,0.088,-0.056,0.131,0.038545455
1942,0.022,-0.016,0.063,-0.027,0.071,-0.059,0.104,-0.041,0.083,-0.081,0.124,0.022090909
1943,0.1,0.062,0.141,0.053,0.147,0.007,0.193,0.041,0.16,-0.01,0.211,0.100454545
1944,0.186,0.143,0.222,0.144,0.229,0.11,0.262,0.128,0.24,0.091,0.279,0.184909091
1945,0.024,-0.015,0.051,-0.016,0.064,-0.054,0.103,-0.034,0.072,-0.074,0.116,0.021545455
1946,0.027,-0.01,0.051,-0.015,0.069,-0.061,0.115,-0.029,0.074,-0.079,0.125,0.024272727
1947,0.019,-0.034,0.046,-0.021,0.059,-0.067,0.105,-0.044,0.069,-0.089,0.117,0.014545455
1948,0.08,0.033,0.109,0.043,0.118,-0.01,0.171,0.02,0.13,-0.029,0.182,0.077
1949,-0.027,-0.062,-0.002,-0.06,0.006,-0.095,0.041,-0.074,0.015,-0.109,0.053,-0.028545455
1950,-0.17,-0.204,-0.141,-0.202,-0.137,-0.238,-0.102,-0.216,-0.127,-0.252,-0.09,-0.170818182
1951,0.051,0.023,0.08,0.02,0.081,-0.015,0.117,0.009,0.091,-0.027,0.128,0.050727273
1952,0.039,0.009,0.072,0.01,0.069,-0.024,0.103,-0.002,0.081,-0.037,0.115,0.039545455
1953,0.199,0.169,0.227,0.17,0.228,0.138,0.26,0.159,0.239,0.126,0.272,0.198818182
1954,-0.058,-0.085,-0.03,-0.087,-0.03,-0.118,0.001,-0.098,-0.019,-0.13,0.012,-0.058363636
1955,-0.088,-0.118,-0.066,-0.116,-0.06,-0.147,-0.03,-0.127,-0.051,-0.158,-0.019,-0.089090909
1956,-0.262,-0.292,-0.237,-0.289,-0.235,-0.321,-0.203,-0.3,-0.227,-0.332,-0.194,-0.262909091
1957,0.009,-0.014,0.036,-0.017,0.035,-0.047,0.066,-0.026,0.045,-0.057,0.076,0.009636364
1958,0.116,0.097,0.138,0.09,0.141,0.062,0.169,0.083,0.15,0.054,0.18,0.116363636
1959,0.073,0.052,0.094,0.048,0.098,0.022,0.124,0.04,0.105,0.012,0.133,0.072818182
1960,0.015,-0.006,0.034,-0.01,0.04,-0.036,0.065,-0.017,0.047,-0.044,0.075,0.014818182
1961,0.065,0.043,0.083,0.043,0.088,0.017,0.114,0.035,0.095,0.008,0.123,0.064909091
1962,0.089,0.069,0.108,0.066,0.111,0.04,0.137,0.058,0.118,0.031,0.145,0.088363636
1963,0.148,0.128,0.17,0.126,0.171,0.099,0.197,0.115,0.179,0.089,0.207,0.148090909
1964,-0.169,-0.189,-0.145,-0.19,-0.148,-0.219,-0.12,-0.201,-0.137,-0.228,-0.11,-0.168727273
1965,-0.134,-0.153,-0.108,-0.155,-0.114,-0.183,-0.085,-0.165,-0.102,-0.192,-0.075,-0.133272727
1966,0.003,-0.014,0.027,-0.017,0.024,-0.046,0.052,-0.025,0.035,-0.053,0.062,0.004363636
1967,0.026,0.011,0.045,0.007,0.045,-0.024,0.077,0.001,0.053,-0.03,0.084,0.026818182
1968,-0.063,-0.079,-0.051,-0.082,-0.045,-0.114,-0.013,-0.088,-0.041,-0.12,-0.009,-0.064090909
1969,-0.054,-0.072,-0.042,-0.072,-0.035,-0.103,-0.005,-0.079,-0.031,-0.109,0,-0.054727273
1970,-0.056,-0.071,-0.04,-0.075,-0.037,-0.103,-0.009,-0.08,-0.031,-0.109,-0.002,-0.055727273
1971,-0.193,-0.208,-0.174,-0.211,-0.174,-0.242,-0.144,-0.217,-0.166,-0.247,-0.137,-0.192090909
1972,-0.222,-0.233,-0.202,-0.241,-0.203,-0.274,-0.17,-0.245,-0.195,-0.278,-0.163,-0.220545455
1973,0.024,0.014,0.04,0.006,0.042,-0.028,0.077,0.003,0.048,-0.032,0.082,0.025090909
1974,-0.261,-0.274,-0.247,-0.279,-0.243,-0.311,-0.211,-0.284,-0.239,-0.316,-0.206,-0.261
1975,-0.123,-0.134,-0.112,-0.14,-0.105,-0.172,-0.073,-0.144,-0.101,-0.176,-0.069,-0.122636364
1976,-0.293,-0.304,-0.281,-0.311,-0.275,-0.342,-0.245,-0.315,-0.271,-0.346,-0.24,-0.293
1977,0.034,0.022,0.048,0.016,0.053,-0.014,0.083,0.012,0.057,-0.019,0.088,0.034545455
1978,-0.056,-0.069,-0.042,-0.076,-0.036,-0.104,-0.008,-0.079,-0.031,-0.109,-0.002,-0.055636364
1979,0.006,-0.009,0.02,-0.014,0.025,-0.041,0.053,-0.018,0.031,-0.047,0.059,0.005909091
1980,0.068,0.057,0.079,0.049,0.087,0.02,0.115,0.045,0.09,0.015,0.12,0.067727273
1981,0.236,0.222,0.246,0.216,0.256,0.188,0.284,0.211,0.259,0.181,0.289,0.235272727
1982,-0.029,-0.049,-0.015,-0.049,-0.01,-0.077,0.019,-0.057,-0.004,-0.085,0.025,-0.030090909
